,Comment,toxic,severe_toxic,obscene,threat,insult,identity_hate,total_classes
53,Iska naam kissinger tha madm 2015 mai i the device,0,0,0,0,0,0,0
54,,0,0,0,0,0,0,0
55,Aapko bhi,0,0,0,0,0,0,0
56,mai to kuxh aur he samjh rhe tha ,0,0,0,0,0,0,0
57,Tughe suscribe nhi hatiyaar chahiye,1,1,0,0,1,0,3
58,Looking  like kriti sanon,0,0,0,0,0,0,0
59,Tu samja,0,0,0,0,0,0,0
60,Can u give me a  kiss?,0,0,1,0,0,0,1
61,Etna speed to plane v nhi udati jitna apka updes h...,0,0,0,0,0,0,0
62,lund logii,1,1,1,0,1,0,4
63,Mam kiss nahi hai. Yeh to didi hai,0,1,0,0,1,0,2
64,Apka number do na mere pass toh paise hai lakin partner nahi hai app mera partner ban jao,1,0,1,0,0,0,2
65,Tum ek kitna baar use karti hoo.,0,1,1,0,1,0,3
66,Tujhe abhi pta chala kya🤣,0,0,0,0,0,0,0
67,Kissing device to ban gaya<br>Ab fu**ing device chahiye app link do na ,1,1,1,0,1,0,4
68,apko be kiya chiye lagend samaj gy 🤣🤣🤣🤣🤣🤣🤣🤣,0,0,0,0,0,0,0
69,Tumhe land chahiye ,1,1,1,0,1,0,4
70,Or mujhe pata hai mujhe kya chahiye aapko kiss karna hai..,1,0,1,0,0,0,2
71,Facevof dog you,0,1,1,1,0,1,4
72,feeti,0,0,0,0,0,0,0
73,Tumko or kuch nahe aata he kya sex only,0,1,1,0,1,1,4
74,chl bosdi ki kl jab tere andar dala to tum kiu chik rhi thi aur abb dusro ko gyan de rhi ho abb ni tume bulauga lene k liye tumhari,1,1,1,1,1,0,5
75,Bj bhi hoga kya ,1,0,1,0,0,0,2
76,L chahiye,1,1,0,0,1,0,3
77,Aise bakbas chiz free mein mile to bhi mein use na karu,0,0,0,0,0,0,0
78,Assam walo like karo,0,0,0,0,0,0,0
79,Maine to khareed liya bus aapka number de do aapke sath hi vish kar lenge dur se,1,0,1,0,0,0,2
80,"You don&#39;t need subscribers, you just need my kiss",1,0,1,0,1,0,3
81,kya lipkiss se bhi virus transmit hote he? <br>jese ke aap ke oralsex video me bataya oralsex ya slaiva se bhi virus tranmit hota he..,0,0,0,0,0,0,0
82,Aur dildo,1,1,0,0,0,0,2
83,Bhai 3000 me toh real me kiss mil jata hai ,1,1,1,0,1,1,5
84,Kuch bhi....... 3000 mai kiss se zyada mil jata hai.....,1,1,1,0,0,0,3
85,Kheyali pulav ,0,0,0,0,0,0,0
86,,0,0,0,0,0,0,0
87,"Ye poora din chudampatti ke hii baare me sochti rhti hain, opportunity me bhi isko hawas dikh jaata hoga",1,1,1,0,1,1,5
88,3000 me to ....sab kuch kar lenge,0,0,0,0,0,0,0
89,B$c,1,1,1,0,0,0,3
90,Kya Oral bhi kr sakte hai ?,0,0,0,0,0,0,0
91,ME TO KOUCH AUR HI SAMJHA RHA ,0,0,0,0,0,0,0
92,Mujhe laga aapko kuch aur chiz chahiye ,1,0,1,0,0,0,2
93,Aur + 3000rs = Russian ,0,0,0,0,0,0,0
94,Tumko chahiye ek bsdha sa kala lamba jo mun me le sako taki mun sidha ho jae,1,1,1,0,0,1,4
95,Seems like china living in 2040 already.,0,0,0,0,0,0,0
96,iska s.x shiksha se kya connection he,1,0,0,1,0,0,2
97,Subscribe nhi chahiye tumhhe lund chahiye ,1,1,1,0,1,1,5
98,I think tumhe bi ek kiss chahiye 🤣,0,0,1,0,0,0,1
99,Just for kiss? ,0,0,1,0,0,0,1
100,Ladki ne Muh me Thook diya toh ??,0,1,1,0,1,0,3
101,Legend use Hathoda <br><br>Muh khol jalfi,1,0,1,1,1,0,4
102,Tarak pan ultimate,0,0,0,0,0,0,0
103,B*<b>***</b> d ye muje chaiye yr,0,1,0,0,0,0,1
104,Internet our life.tu bhi toh internet key waja say paisa chap raha hai..,0,0,0,0,0,0,0
105,Aaap kaha se ho wese haa ?,0,0,0,0,0,0,0
106,Iss technology ko aurr badhna chahiye..thode aurr features hote toh maza aa jata,0,0,0,0,0,0,0
107,Ik aapko bhi Lena chahiye ,0,0,0,0,0,0,0
108,Tujhe ready made land ki jarurat hai <br><br>Kya content lati ho tum ,1,1,1,0,1,0,4
109,Abba nhi manenge🤣🤣🤣,0,0,0,0,0,0,0
110,That device I am not using two kissing I am using  you know......,1,0,1,0,0,0,2
111,Ye chayana vale he Aane vale samay me ye sax karne vale machine Bana dege mobaile se canect,1,1,1,0,0,0,3
112,Dhurrr chapri,1,0,0,1,1,1,4
113,Kisi,0,0,1,0,0,0,1
114,To dega kiya,1,0,0,0,0,0,1
115,मैडम तुम्हें कोई और टॉपिक ना मिला क्या शैक्षिक सा के अलावा,0,0,0,0,0,0,0
116,"&quot;Pehle estmal kree, Fir viswas kree&quot;",0,0,0,0,0,0,0
117,Shor machega song,0,0,0,0,0,0,0
118,"belowjaob,,,,🤣🤣🤣",0,0,1,0,0,0,1
119,yhn  bf munh k andr dal dy ga ,0,1,1,0,0,0,2
120,Uss machine ka hooth khulta bhi hai kya??<br>Vo Janna hai,0,0,0,0,0,0,0
121,You are beautiful,0,0,0,0,0,0,0
122,Assam ka Nam kiyu liya?????????,0,0,0,0,0,0,0
123,ey lo long distance relationship ka kiss liye device nikal gaya,1,0,0,0,0,0,1
124,Bhen kya ker rhi hai tu<br>Tum kya bahut jyada piti ho kya ,1,0,1,0,0,0,2
125,"3000 ka mai lu, 3000 ka use dilau wo bhi sirf kiss ke liye<br>Isse accha 6000 me Russian na le aau",1,0,0,0,1,0,2
126,,0,0,0,0,0,0,0
127,Xxx,0,1,0,0,0,0,1
128,Bata do yaar kaha milega,0,0,0,0,0,0,0
129,ED kya hota hai????,0,0,0,0,0,0,0
130,Mujhe lagta h aap logon ko aware km or apna business jyada failane m lagi ho,0,0,0,0,0,0,0
131,ya product kaha pe milega yar koi batyaga plz,0,0,0,0,0,0,0
132,Aare Didi Aram se ,0,0,0,0,0,0,0
133,I don’t need this,0,0,0,0,0,0,0
134,3000 me to beautiful maal mil jayega,1,1,1,0,1,0,4
135,I LOVE U ,0,0,0,0,0,0,0
136,3000 me kiss bahut mahanga hai kuchh aur banata to sochata bhi,1,0,1,0,0,0,2
137,madam silicon vagina ka invention kisne kiya,1,1,0,0,0,0,2
138,Tum ko chahiye ek LOU*A ,1,1,1,1,1,0,5
139,pata nhi kyu per mujhe ye ladki sakal se e nasheri lagti hai,1,0,0,0,1,1,3
140,Its not just kisses its much more <br>Samaj rahe ho,1,0,0,0,0,0,1
141,Fake sex expert,1,0,0,0,1,1,3
142,Lekin server ki wajah se aatak phir ,0,0,0,0,0,0,0
143,Nahi mam baki toh thik hai Chinese Jo mrji invent krte hai.. but AAP kyu advertising ke rahe ho,0,0,0,0,0,0,0
144,Single bande be like lena padega,0,0,0,0,0,0,0
145,Mujhe apko kissi karna hain didi ,1,0,1,0,0,0,2
146,Tujhe ....subscribe nhi ...tujhe pyaar chachiye ..wo mai dunga. ..<br>I love yyou 🤤🤤🤤,1,0,1,0,0,0,2
147,Save that guy at any cost,0,0,0,0,0,0,0
148,"But,but,but .I want to  kiss you,ooppps sorry not you on your sexy lips .",1,1,1,0,0,0,3
149,Fir imran hasmi kya karega ,0,0,0,0,0,0,0
150,Tum ko ek dildo chaiye ,0,1,0,0,1,0,2
151,Mujhe laga ki apko bhi ek kissing device chahiye,1,1,0,0,0,0,2
152,Phir main Tumhe b kiss kr Sakta hu ,0,1,1,0,0,0,2
153,Mai bi janta ho apko kia chahye.  Fake land 🥒,0,0,0,0,0,0,0
154,Kya chaiye re tere ko,0,1,1,0,1,0,3
155,kisi ko bhi kiss kar sakte hai 🤔 to me ek baat soch Raha tha ,1,0,1,0,0,0,2
156,Russia bhi?,0,0,0,0,0,0,0
157,Hey prabhu ,0,0,0,0,0,0,0
158,Paagal hai tu,0,1,0,0,1,0,2
159,,0,0,0,0,0,0,0
160,kya chutiyapa hai,1,1,0,0,1,0,3
161,Muh band kar MKL,1,0,0,1,1,0,3
162,Yr tmy dekh kr mujhe mare ex yaad ajti h,0,0,1,0,0,0,1
163,Sanatani ldkiya,0,0,0,0,0,0,0
164,Mam bj de sakte hai kya<br><br>Pls answer,1,0,1,0,1,0,3
165,Thanks for mentioning assam...,0,0,0,0,0,0,0
166,Mere ko pata hai tumko kya chahie,1,0,0,0,0,0,1
167,Asssam included  love from assam ,0,0,0,0,0,0,0
168,,0,0,0,0,0,0,0
169,Apne Log Multi talented hai 1 chij se 10 kaam karte hai to isse bhi 10 kaam kiya jayega ,0,0,0,0,0,0,0
170,Ye ladki mu se hi tharki lagti hai,0,1,1,0,1,0,3
171,3000 Dene se badhiya 6000 dedu,0,0,0,0,0,0,0
172,Humko bhi pata ha ap kya chahati ho  ak subscribe ya dher sare log apke channel ko nhi apko subscribe kare jor jor se ,0,1,1,0,0,0,2
173,Good news,0,0,0,0,0,0,0
174,Ap b instragram pe me ho or kya apke pass b ye device h?,0,0,0,0,0,0,0
175,Link nhi hai,0,0,0,0,0,0,0
176,hum tumko he letayenge khatiya pe,1,1,1,0,0,0,3
177,,0,0,0,0,0,0,0
178,Ye lo,0,0,0,0,0,0,0
179,Maam ma ap KO kissi karuga OK thank u maam,0,0,1,0,0,0,1
180,Vase koi garentee nahi sab kissing ke liye use kare,1,0,0,0,0,0,1
181,3000*2 <br>,0,0,0,0,0,0,0
182,SOS ,0,0,0,0,0,0,0
183,Dildo,0,1,0,0,0,0,1
184,Tere ko kiss Lena hai kya,1,0,1,0,0,0,2
185,Kya chutiyapa h,0,1,0,0,1,0,2
186,Tu kyu itni jealous feel kr rahi ho ?,0,0,0,0,0,0,0
187,Reminds me of Raj and Howard. Hahah,0,0,0,0,0,0,0
188,If I had a ₹3000 i would have spent a night with a girl ,1,0,0,0,0,0,1
189,Kya to naam rakha hai channel ka,0,0,0,0,0,0,0
190,So cringe content,1,0,0,0,1,0,2
191,mai aapko ye device courier kar rha hoon  ek mere paas h,1,0,1,0,0,0,2
192,Get ready for F*ck device gaiass,1,1,0,0,0,0,2
193,You forgot s@x doll ,1,1,0,0,0,0,2
194,Pehli baar china ne kuch aacha invent kiya raat me bahot kaam aayegA,1,0,0,0,0,0,1
195,"Kal roast release hoga es ma&#39;am pr mere es channel pr , stay tuned",0,0,0,0,0,0,0
196,"@Braveheart Bri don&#39;t worry New CEO OF YOUTUBE GAVE US FREEDOM, RAHI BAT COMMENT HIDE KI WO VIDEO KHUD LOGO KO BATA DI GI KIA PEACE UPLOAD HOGA,",0,0,0,0,0,0,0
197,Bro your comment got hidden I cannot se it but when I touched your profile I was able to see you wrote corn corn corn.... Dhyan rakh bhai these things can limit your reach to others. Snowflake generation mei reh rahe hain hum kuch bhi cancel ho sakta hai aaj kal. Subscribed you though.,1,1,0,0,0,0,2
198,@Braveheart Bhai porn porn pron boht ayega dekhna ,1,1,0,0,1,0,3
199,"Haha.I am sure it&#39;ll have a lot of chex chex chex, orgsm, chex, orgsm. Will be watching though",1,1,1,0,0,0,3
200,Bs kis k liye hi h ky ,0,0,0,0,0,0,0
201,I will kiss you baby,1,0,1,0,0,0,2
202,Bhai merpe toh nokia 3310 hai uspe chalega kya,0,0,0,0,0,0,0
203,matlab tu nokia pe youtube chala raha hai gan*u,1,1,0,0,1,0,3
204,Aise ghapa ghap karne ka tarika invent karo yaar ,1,1,0,0,0,0,2
205,After seeing this video .. legends searching for kissing device on Amazon ,1,0,0,0,0,0,1
206,Sala 3k me to ek jinda ladki aa jayengi ,1,0,0,0,0,0,1
207,She looks old in this video,0,0,0,0,0,0,0
208,Or mera kya,0,0,0,0,0,0,0
209,ha hum jante hai aapko kya chahiye,1,0,1,0,0,0,2
210,3000  ya 3000 USD??,0,0,0,0,0,0,0
211,Yaha ladka log pani puni kya kya kar dere inhe pta lag gya na Chinese walo ko toh ye duniya se pare bhag jayege ,0,1,1,0,0,0,2
212,600 me toh bs chuch kro,1,1,0,0,0,0,2
213,Virat be like : Tera to game bajana padega kisne touctkia usko m*<b>**</b>,0,1,0,1,0,0,2
214,India 🤣 Ye Kiss Ke liye nhi pr kuch or Kaam Aayga <br>To batai ye bhaio. Kya kaam hoga🤭,1,0,0,0,0,0,1
215,Fir hudai ka kya,1,1,0,0,0,0,2
216,Abe 3000 metho rasu**n miljayega re,1,1,1,0,0,0,3
217,meanwhile virat kohli: usko kiss kaise kiya m🤬,1,0,0,1,1,0,3
218,Bohat purana hai. Bohat pehle dekha hai ,0,0,0,0,0,0,0
219,Main isko kharid toh lunga but karunga kya🥲,0,0,0,0,0,0,0
220,Last mai bheeg maang he leti ho ap,1,0,0,0,0,0,1
221,Artificial banana 🤣🤣🤣,0,1,1,0,0,0,2
222,I&#39;m desperate to kiss you liplock ,1,0,1,0,0,0,2
223,Best for singles boys and girls ,0,0,0,0,0,0,0
224,Mujhe lga aapko bhi partner chahiye,0,0,1,0,0,0,1
225,no virat kohli is harmed here,0,0,0,0,0,0,0
226,How deep is the mouth? Just for resarch purposes.,0,1,1,0,1,0,3
227,Nhi kare gye sub,0,0,0,0,0,0,0
228,Computer mode hai kya??,0,0,0,0,0,0,0
229,me and who ??,0,0,0,0,0,0,0
230,300 me kahi aur na chala jauu,1,0,0,0,1,0,2
231,Mujhe tumhari kiss mileto is device ki jarurat nahi hogi,0,0,1,0,0,0,1
232,"Agar ye video parents ne dekh lia toh ,",0,0,0,0,0,0,0
233,🤠🤠,0,0,0,0,0,0,0
234,amazon pe nahi mila kaha milega🤣,0,0,0,0,0,0,0
235,Kuch din me sex bhi online hoga,1,0,0,0,0,0,1
236,I hope someday long distance wireless s🤐x device would be invented...!!,1,0,0,0,0,0,1
237,Tm aisi baatein kr kr ke hum ldko ko or muthal bna dogi,1,0,0,1,1,0,3
238,Disclaimer : no Virat Kholi harm in this video ,0,0,0,0,0,0,0
239,Will it remain upto Horizontal lips ,0,1,0,0,0,0,1
240,,0,0,0,0,0,0,0
241,Feel a jyegi kya ?,0,0,0,0,0,0,0
242,Made in china,0,0,0,0,0,0,0
243,ye sab kya dakhna pad raha h acha h mai single hu,0,0,0,0,0,0,0
244,Esa karke ye apne partner se or jyada duri badha rhe h,0,0,0,0,0,0,0
245,3 Hazaar ki machine 6 hazaar ka partner total 9 hazaar ka kharcha,1,0,0,0,1,0,2
246,Tumhe kr skta hu kiss ?,1,0,1,0,0,0,2
247,You going to be fuc*ked one day.. I am damn sure!,0,1,0,1,1,0,3
248,"<a href=""",0,0,0,0,0,0,0
249,Does age mater in relationship,0,0,0,0,0,0,0
250,What happened to your right eye?  You need highly orgasms to cure it <br><br>Did any subscriber noticed it?,1,0,1,1,1,0,4
251,Are you akhomiya?,0,0,0,0,0,0,0
252,Blowjob Hoga Kiya?,1,0,0,0,0,0,1
253,Apko krna h 🥰🥰,1,0,0,0,0,0,1
254,Tume subscribe nahi kuch aur chaiye ,1,0,0,0,1,0,2
255,Kiss karte waqt bich me khada hogya toh ,0,1,1,0,0,0,2
256,Ye device india mai aa gya to khatam kahani. Long distance wale full mood mai ,1,0,0,0,0,0,1
257,Kiss karte waqt agar kisi ne kiss karne ki jagah badal di fir,1,0,0,0,0,0,1
258,Na real mast Sundar knaya hi hogi wo aisi faaltu cheez ke liye paisa nhi h mere,1,0,0,0,0,0,1
259,Feel thdi ayega per kiss wala🤣,1,0,0,0,0,0,1
260,Pov= pata nahi yeh kya kya invent karte rehte hai <br>.<br>.<br>.<br>.<br>.<br>Reality=pr fir bhi ham video banayenge,0,0,0,0,0,0,0
261,Made in China never Trust. Soon kissing Corona v niklega,0,0,0,0,0,0,0
262,I see raj and Howard did it way before,0,0,0,0,0,0,0
263,It requires gut to spread awareness in the society like India where everyone is being observed and controlled by indian parents.,0,0,0,0,0,0,0
264,You need  play toy 🧸,0,1,1,0,1,0,3
265,Instagram Id do apka reels dekh kar Kam chalaunga... I&#39;m true&#39;single ,0,0,1,0,0,0,1
266,"Are apko dekhke mai fidaa hoo raha hoon ,, hayyy",0,0,1,0,0,0,1
267,Legends knows ,0,0,0,0,0,0,0
268,3000 ma or Thora sa milaky bohut siz a jata hai,1,0,0,0,0,0,1
269,Bhai ab to upr upr se bhi online hoga 🤣🤣🤣🤣,1,0,0,0,0,0,1
270,fame k liye kuch,0,0,0,0,0,0,0
271,how many singles are watching this? ,0,0,0,0,0,0,0
272,9000 mai ho jayega<br> 3000 device + 6000 partner,1,0,0,0,0,0,1
273,Assam 🪴,0,0,0,0,0,0,0
274, hawasi log lips ko vertical rakh ke aur kuchh karenge,0,1,1,0,0,0,2
275,Bancho ray william ko bhi copy karne lagi ye ladki,0,1,0,1,1,0,3
276,Hamra ak hi Sahara headphones Mike,1,0,0,0,0,0,1
277,when she said &quot;but main jaanti hu.. mujhe kya chahiye?...... ek subscribe &quot; 🤡🤡🤡( my mind :- &quot; dimag hi ganda hai !&quot;),0,1,1,0,1,0,3
278,Yr tumhari nak ka kata / point face k hisab se sahi lagta hai...are you single,0,0,1,0,0,0,1
279,You&#39;re pretty  my god,0,0,0,0,0,0,0
280,"Population toh badha nahi pa rhe chinease, aur kissing devices bana rhe hai, shee",1,0,0,0,0,0,1
281,Is video mai itna pass aake baat krne ki kya jarurat thi?<br>I mean bhut pass se frame liya hai is video mai ,0,0,1,0,1,0,2
282,Oral sex kar sakte hai kya is se?,1,0,0,0,0,0,1
283,Apko kiss karle,1,0,1,0,0,0,2
284,Isme or 3000 hajar dalke ek russian leke na aa jau ,0,1,0,0,1,0,2
285,Wow Social distanceRomance,0,0,0,0,0,0,0
286,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,0,0,0,0,0,0
287,The movement she said ik mujhe kya chaiye <br>I thought kiss?<br>My dirty mind ,1,0,1,0,0,0,2
288,Mujhe bhi wahi laga tha,0,0,0,0,0,0,0
289,Chinese nhi Japanese,0,0,0,0,0,0,0
290,When internet lags: bae are u even kissing ,1,1,0,0,0,0,2
291,Russian ajayegi itne me to,0,1,0,0,0,0,1
292,Now we have kiss simulator for beginners,1,0,0,0,0,0,1
293,I want a head,0,1,0,0,0,0,1
294,such a useless YouTube channel... sex shiksha kam bhakchodi jyada,0,1,0,1,1,1,4
295,Jb is ne kaha (m kya chahti hoon) mujhy lga agy kahy gi dildo ,1,1,1,0,0,0,3
296,Price kitna bhi ho 🥲 partner bhi toh chahiye na,0,0,0,0,0,0,0
297,U should show this video to ur mom she might be so happy,0,0,0,1,1,1,3
298,,0,0,0,0,0,0,0
299,Lekin pata kaise chalega.. Ki hamari gf hi use kar rahi he.. Wo kisi aur ko pakda de toh?,1,0,0,0,1,0,2
300,Aapke facial expressions ko study karne ke bad mujhe samajh mein a gaya hai ki girlfriend ho to aap hi ho ,1,0,1,0,0,0,2
301,Bc uss k liye partner b chahiye 🤣<br>Vo kidr se aayega,0,1,0,0,0,0,1
302,Mujhe laga ap description mai link dhoge,0,0,0,0,0,0,0
303,Chimkaandi ,1,1,0,0,1,0,3
304,MUJHE SAMEER KE BAT YAD A RHE HAI.... VALENTINE HUTIYAPA.... PHONE PE MUHN KHOLO OYA OYA BOLO🤣🤣🤣🤣,1,1,1,0,0,0,3
305,Wednesday addams ,0,0,0,0,0,0,0
306,I thought the same,0,0,0,0,0,0,0
307,🤣🤣🤣🤣🤣,0,0,0,0,0,0,0
308,Bas online sex ki nobat na aa jaye aur sperm storage v connected ho🤣🤣,1,1,0,0,0,0,2
309,Kis kis ko pata h ki in Chinese ka next invention kya hoga ,0,0,0,0,0,0,0
310,The kissing device is not made for kiss,1,0,0,0,1,0,2
311,You giving bullshit information and brainwashing the current young ones rather then wait for loved ones for worth love making time,0,1,0,0,0,0,1
312,Bahut beautiful ho naam kya koi Jaan sakta hun,0,0,1,0,0,0,1
313,Kya mouth mai hole hoga?🫣,1,1,0,0,0,0,2
314,Tereko kya chahiya sab ko pata hai ,1,0,0,0,1,0,2
315,Subscribe mt Krna,0,0,0,0,0,0,0
316,Ye same cheez 150 mai bana dunga,0,0,0,0,0,0,0
317,,0,0,0,0,0,0,0
318,&quot;Kissi &quot;<br>,1,0,1,0,0,0,2
319,toh karo download,0,0,0,0,0,0,0
320,Aaj lips invent kre hai horizontal Wale kal lulli aur vertical lips bhi invent hoga 🤣🤣🤣🤣🤣🤣yha sei dalo vha tumhare partner ko feel hoga ,1,1,0,0,0,0,2
321,3000 meh to russian mil jayegi,1,0,0,0,0,0,1
322,"At the end when she said, &quot;main janti mereko kya chahiye&quot;. I really thought something else as the topic to the short was very similar to that. Don&#39;t tell me you didn&#39;t understand what here I&#39;m talking about ",0,0,0,0,0,0,0
323,Aap ko kaise kiss kar sakte hain,1,0,1,0,0,0,2
324,Lol 🤣🤣🤣,0,0,0,0,0,0,0
325,girlfriend ka bhi avishkar kar do please,1,0,0,0,1,0,2
326,Kiss to bass bahana hai hume to chuswana hai,1,1,0,0,0,0,2
327,E apne maa baap ke samne ye bolna tto,0,1,0,1,1,0,3
328,yaaaar kitni awasome hai yeh @,0,0,0,0,0,0,0
329,Nhi krunga subscribe,0,0,0,0,0,0,0
330,Horizontal kip ko vertical krke kiss krenge,0,1,0,0,1,0,2
331,Itane me to Russian aa jayegi,1,0,0,0,0,0,1
332,After nibba nibbi watching this  <br><br><br><br><br>Baby apko ak gift dena tha ,1,1,0,0,0,0,2
333,Mko pta hai apko khy chiya ,0,0,1,0,0,0,1
334,But i need the original one ,1,0,0,0,0,0,1
335,Chaliye product ka review karte hai .🤣🤣,0,0,0,0,0,0,0
336,apne ko kya apan to single hai red light pe ruk jate hai,1,0,0,0,1,0,2
337,kya yeh device blowjob desakta hai kya,1,1,0,0,0,0,2
338,Aur 3 hazar add krke to Russian ,1,0,0,0,0,0,1
339,Can we..?<br>I really like you<br>Mujhe ni pta prr tumko dekh ke acha lgta hh,0,0,1,0,0,0,1
340,3000 something ,0,0,0,0,0,0,0
341,@Sex Shiksha agr koi boys ekdum se masturbation quit kr de to ky hoga???,1,0,0,0,0,0,1
342,@Anurag singh bhai mere ek dost saath hogaya ..usko phir hijzde utha ka le gaya isse isslye Tera bhi soch kar ro Raha hoon ,1,1,0,1,1,0,4
343,@Boa Toa bhai lagta hai apke sath ho chuka hai isliye roo rhe ho,0,0,0,0,0,0,0
344,Phir Tera chota ho jayega  roz 1 inch phir gayab hamesha ke liye ,1,0,0,0,1,0,2
345,@Sex Shiksha agr koi boy masturbation quit kr de to ky hoga???,0,0,0,0,0,0,0
346,Night fall 🤣,1,0,0,0,0,0,1
347,Mar jayga ,0,1,0,1,0,0,2
348,The Boys: &quot;Tumko bhi&quot;,0,0,0,0,0,0,0
349,Uh this world is getting sussy nowadays,1,0,0,0,1,0,2
350,Apko patane ke liye kya karna hoga wo bhi bata do,1,0,0,0,0,0,1
351,kal toh tum didi bol raha tha ,0,0,0,0,0,0,0
352,Or aap,0,0,0,0,0,0,0
353,Iske liye partner hola jaruri hai kya ,1,0,0,0,0,0,1
354,Muja thum chaiea,0,0,1,0,0,0,1
355,Kya mtlb machine to aa gyi pr bandi nhi🤣,1,0,0,0,1,0,2
356,Kiss ke naam par bhi DHOKHA....,1,0,0,0,1,0,2
357,aab toh kiss k bahane bj ,1,0,0,0,1,0,2
358,Hhhhhh nice shiksha,0,0,0,0,0,0,0
359,Aur ap jante ho muje kya chaiye,0,0,1,0,0,0,1
360,Mam I have questions Sanitary pads how many usefull for girls . I am boy but interested to Knowing this question Answer because many companies using palstic to make more pads,0,0,0,0,0,0,0
361,Don&#39;t promote Chinese products. bhailog 3000 mai Gb road chle jaoge 3 din,1,0,0,0,1,0,2
